uuid,nombre,ranking,fecha_nacimiento,año_profesional,altura,peso,ganancias,mano_dominante,tipo_reves,puntos
c993e53e-4aea-4ddf-9612-86cc8a42764a,Novak Djokovic,1,1987-05-22,2003,188,77,154875.793,DERECHA,DOS MANOS,8340
4cb92bab-54bd-4218-8a8c-3b7e8b1f9631,Daniil Medvedev,2,1996-02-11,2014,198,83,23585.311,DERECHA,DOS MANOS,8230
0bd16036-bb4d-4384-a8d2-25600091c875,Alexander Zverev,3,1997-04-20,2013,198,90,30886.535,DERECHA,DOS MANOS,7465
e2b36c0f-af09-46de-97e3-e742e6941641,Rafael Nadal,4,1986-06-03,2001,185,85,128081.95,IZQUIERDA,DOS MANOS,6935
c08b2bc9-322a-4a54-aac2-74170baf082e,Stefanos Tsitsipas,5,1998-08-12,2016,193,90,18363.259,DERECHA,UNA MANO,5980
53910a06-8c10-47e0-a2ce-4a4327d176f8,Matteo Berrettini,6,1996-04-12,2015,196,95,9387.509,DERECHA,UNA MANO,4945
40c9d0f8-3ce7-43c1-b018-1a9ca68de2f8,Casper Ruud,7,1998-12-22,2015,183,77,5929.585,DERECHA,DOS MANOS,4110
34347e01-dab8-4a05-b1d8-d4c134faffdd,Andrey Rublev,8,1997-10-20,2014,188,75,11331.647,DERECHA,DOS MANOS,3865
22d6a3b4-a098-4fb2-ab84-02dd239bb51a,Felix Auger-Aliassime,9,2000-08-08,2017,193,88,6613.107,DERECHA,DOS MANOS,3625
3fec60f9-a41b-4807-83c7-91c0e60caca1,Cameron Norrie,10,1995-08-23,2017,188,82,5859.299,IZQUIERDA,DOS MANOS,3440
